artist_name,track_title,url_has_any,paid_has_any,direct_has_any,bandcamp_url,discogs_url,spotify_url,soundcloud_url,youtube_url,apple_music_url,magnatune_url,other_url,weathervane_url,mix_rescue_url,mix_rescue_url
ABA STRUCTURE,EPIC,1,1,1,,https://www.discogs.com/release/221086-ABA-Structure-Epic,,,,,http://www.magnatune.com/artists/albums/kenji-epic/,,,,
ABA STRUCTURE,Tektonik Illusion,1,1,1,,https://www.discogs.com/release/216735-ABA-Structure-Tektonik-EP,,,,,http://www.magnatune.com/artists/albums/kenji-tektillu/,,,,
Altri Stromenti,Uccellini,1,1,1,,https://www.discogs.com/release/2444684-Altri-Stromenti-Italian-Music-Of-The-17th-Century,,,,,http://www.magnatune.com/artists/albums/stromenti-uccellini/,,,,
Ambient Teknology,The All Seeing Eye Project,1,1,1,,https://www.discogs.com/release/895640-Ambient-Teknology-The-All-Seeing-Eye-Project,,,,,http://www.magnatune.com/artists/albums/atek-eye/,,,,
Ambient Teknology,Phoenix,1,1,1,,https://www.discogs.com/release/891379-Ambient-Teknology-Phoenix,,,,,http://www.magnatune.com/artists/albums/atek-phoenix/,,,,
American Bach Soloists,Heinrich Schutz - Musicalische Exequien,1,0,0,,,,,,,http://www.magnatune.com/artists/albums/abs-heinrich/,,,,
American Bach Soloists,Joseph Haydn - Masses,1,0,0,,,,,,,http://www.magnatune.com/artists/albums/abs-haydnmasses/,,,,
American Bach Soloists,J.S. Bach - Favorite Cantatas,1,0,0,,,,,,,http://www.magnatune.com/artists/albums/abs-favoritecantatas/,,,,
American Bach Soloists,J.S. Bach - Mass in B Minor CD2,1,0,0,,,,,,,http://www.magnatune.com/artists/albums/abs-bachmasscd2/,,,,
American Bach Soloists,J.S. Bach - Cantatas Volume V,1,0,0,,,,,,,http://www.magnatune.com/artists/albums/abs-cantatasfive/,,,,
American Bach Soloists,J.S. Bach - Transcriptions of Italian Music,1,0,0,,,,,,,http://www.magnatune.com/artists/albums/abs-transcriptions/,,,,
